from,to,weight
10,53,1
10,117,1
11,108,1
12,191,1
13,115,1
13,171,1
13,172,1
13,208,1
14,104,1
15,104,1
16,171,1
17,280,1
19,208,1
20,170,1
20,195,1
20,285,1
20,288,1
21,28,1
23,94,8
23,131,4
24,207,1
25,23,1
26,78,1
27,163,1
28,136,6
29,219,1
30,117,1
32,117,1
33,126,1
35,23,1
36,77,1
36,171,1
37,68,1
38,52,1
39,280,1
40,91,1
41,28,1
42,53,1
43,85,1
44,180,1
45,23,1
46,104,1
47,78,1
49,198,1
50,23,1
51,72,1
52,266,2
53,266,5
54,57,1
54,193,1
57,196,1
59,53,1
61,75,1
62,288,1
63,191,1
64,191,1
67,53,1
67,117,1
68,218,3
70,181,1
71,72,1
71,78,1
72,194,5
73,75,1
73,85,1
75,74,7
77,58,2
78,194,3
80,23,1
81,108,1
82,170,1
83,105,1
83,108,1
83,288,1
84,28,1
85,88,6
85,111,2
87,156,1
89,104,1
90,75,1
91,31,2
92,219,1
93,75,1
93,193,1
95,273,1
96,104,1
96,208,1
97,18,1
98,18,1
99,117,1
99,277,1
100,74,3
101,97,1
101,98,1
101,208,1
101,210,1
102,180,1
103,181,1
104,58,7
105,288,1
106,49,1
107,52,1
108,55,1
108,131,4
108,186,1
108,288,1
110,77,1
110,104,1
112,219,1
113,214,1
114,117,1
115,216,1
116,72,1
117,31,1
117,196,7
118,108,1
118,193,1
119,219,1
120,192,1
121,23,1
122,171,1
123,181,1
124,23,1
125,23,1
126,179,3
127,171,1
128,100,2
129,76,1
130,108,2
130,219,1
132,157,3
133,180,1
134,214,1
135,281,1
137,53,1
139,186,1
140,191,1
141,28,1
142,72,1
143,214,1
144,126,1
145,165,1
146,108,1
147,280,1
148,139,1
149,55,1
149,79,1
150,280,1
151,285,1
152,219,1
153,280,1
154,171,1
154,172,1
155,65,1
156,183,1
158,23,1
159,191,1
160,23,1
161,171,1
163,216,1
164,56,3
165,56,1
166,191,1
167,104,1
168,28,1
169,207,1
170,111,1
170,184,1
170,286,1
171,182,8
172,182,1
172,286,1
173,182,1
174,191,1
175,185,1
176,91,1
177,185,1
178,191,1
180,266,6
181,34,5
181,86,1
185,186,3
187,192,1
188,208,1
189,171,1
190,214,1
191,22,11
191,288,1
192,56,3
193,109,1
193,131,1
193,183,1
193,197,1
195,109,1
195,198,1
199,85,1
200,194,1
201,219,1
202,100,1
204,191,1
205,85,2
206,210,1
208,109,5
208,288,1
209,69,1
209,109,4
210,18,5
211,170,1
211,215,1
211,288,1
212,66,1
212,111,1
213,219,1
213,288,1
214,55,2
214,109,1
214,273,6
214,286,1
215,109,1
217,132,1
219,48,1
219,60,10
219,288,1
220,75,1
221,126,1
222,180,1
223,149,1
224,209,1
225,280,1
226,85,1
227,75,1
227,117,1
227,149,1
227,219,1
227,288,2
228,212,1
229,85,1
230,214,1
231,129,1
232,132,1
233,164,1
234,132,1
235,68,1
236,23,1
237,24,1
238,117,1
239,214,1
240,68,1
241,85,1
242,195,1
243,173,1
244,75,1
245,181,1
246,193,1
247,191,1
248,219,1
249,180,1
250,280,1
251,209,1
252,181,1
252,191,1
252,277,2
253,208,1
253,210,1
254,214,1
255,164,1
256,210,1
257,280,1
258,219,1
259,23,1
260,280,1
261,180,1
262,209,1
263,210,1
264,280,1
265,191,1
267,185,1
268,209,1
269,214,2
271,72,1
272,209,1
274,219,1
275,280,1
276,214,1
277,22,1
277,66,1
277,218,1
278,164,1
278,192,1
279,181,1
280,162,10
280,203,1
281,270,1
282,155,1
283,212,1
284,28,1
284,95,1
284,169,1
284,200,1
284,285,1
285,94,2
285,288,1
288,55,1
288,60,1
288,86,1
288,138,1
288,216,1
288,288,2
