label,category,size,id
5,user,173,0
6,user,14,1
7,user,6,2
8,user,9,3
9,user,3,4
10,user,9,5
11,user,1,6
13,user,1,7
14,user,3,8
15,user,4,9
30 Rock,title,2,10
A Farewell to Arms,title,1,11
A Portrait of the Artist as a Young Man,title,1,12
A Room of One's Own,title,4,13
A Song of Ice and Fire,title,1,14
A Tale of Two Cities,title,1,15
A Wild Sheep Chase,title,1,16
A Wrinkle in Time,title,1,17
Acceptance of Loss,experience,7,18
Adventures of Huckleberry Finn,title,1,19
Agents of S.H.I.E.L.D.,title,4,20
Alice's Adventures in Wonderland,title,1,21
Alienation,experience,12,22
Almighty Heart,technology,12,23
Almighty Heart + Satiric Narration,technology,1,24
Amadis de Gaula,title,1,25
Americanah,title,1,26
An Apology for the Life of Mrs. Shamela Andrews,title,1,27
Anarchy Rhymer,technology,6,28
And Then There Were None,title,1,29
Animal Farm,title,1,30
Awe,experience,3,31
Babbitt,title,1,32
Becoming,title,1,33
Being Wrong,experience,5,34
Bel Canto,title,1,35
Beloved,title,2,36
BioShock,title,1,37
Blazing Saddles,title,1,38
Bloodchild,title,1,39
Book of the Dead,title,1,40
Bottle Rocket,title,1,41
Broad City,title,1,42
Brokeback Mountain,title,1,43
Buffy the Vampire Slayer,title,1,44
Call Me By Your Name,title,1,45
Call the Midwife,title,1,46
Casablanca,title,1,47
Catharsis,experience,1,48
Choose Your Own Accomplice,technology,1,49
Clarissa,title,1,50
Cloud Atlas,title,1,51
Comic Wink,technology,2,52
Comic Wink + Reality Shifter,technology,5,53
Confessions,title,2,54
Confusion,experience,5,55
Connection,experience,7,56
Conversion Narrative,technology,1,57
Courage,experience,9,58
Crazy Ex-Girlfriend,title,1,59
Curiosity,experience,11,60
David Copperfield,title,1,61
Detroit: Become Human,title,1,62
Disclaimer,title,1,63
Disgrace,title,1,64
Dissociation,experience,1,65
Distress,experience,2,66
Don Quixote,title,2,67
Double Alien,technology,3,68
Double Identification,experience,1,69
Dragnet,title,1,70
Dream of the Red Chamber,title,2,71
Dream of the World,technology,5,72
Emma,title,2,73
Empathy,experience,10,74
Empathy Generator,technology,7,75
Empowerment,experience,1,76
Epic Simile,technology,2,77
Equilateral Love Triange,technology,3,78
Existential Nausea,experience,1,79
Fanny Hill,title,1,80
"Fleabag, season 2",title,1,81
Flow,title,1,82
Flowers for Algernon,title,3,83
Fox in Socks,title,1,84
Free Indirect Discourse,technology,8,85
Frustration,experience,2,86
Fun Home,title,1,87
Generous Love,experience,6,88
Gladiator,title,1,89
Go Tell It on the Mountain,title,1,90
God Voice,technology,2,91
Gone Girl,title,1,92
Good Will Hunting,title,2,93
Gratification,experience,10,94
Gratitude Booster,technology,1,95
Grey's Anatomy,title,2,96
Grief Releaser,technology,1,97
Guilt Lifter,technology,1,98
Gulliver's Travels,title,2,99
Hamartia,technology,3,100
Hamlet,title,4,101
Horse Feathers,title,1,102
House M.D.,title,1,103
Human God Voice,technology,7,104
Hurt Delay,technology,1,105
I Know Why the Caged Bird Sings,title,1,106
I Love Lucy,title,1,107
I Voice,technology,7,108
