label	category	size	id
1 Thessalonians	title	1	0
30 Rock	title	2	1
A Farewell to Arms	title	1	2
A Funny Thing Happened on the Way to the Forum	title	1	3
A Portrait of the Artist as a Young Man	title	1	4
A Song of Ice and Fire	title	1	5
A Tale of Two Cities	title	1	6
A Wild Sheep Chase	title	1	7
A Wrinkle in Time	title	1	8
Acceptance of Loss	experience	7	9
Alcestis	title	1	10
Alice's Adventures in Wonderland	title	1	11
Alienation	experience	14	12
All about H. Hatterr	title	1	13
Almighty Heart	technology	14	14
Almighty Heart + Satiric Narration	technology	1	15
Almighty Heart + Soliloquy	technology	1	16
Amadis de Gaula	title	1	17
Americanah	title	1	18
An Apology for the Life of Mrs. Shamela Andrews	title	1	19
Anarchy Rhymer	technology	8	20
And Then There Were None	title	1	21
Animal Farm	title	1	22
Anne of Green Gables	title	1	23
Antigone	title	1	24
Apology	technology	2	25
Awe	experience	5	26
Babbitt	title	1	27
Batrachomyomachia	title	1	28
Becoming	title	1	29
Being Wrong	experience	6	30
Bel Canto	title	1	31
Beloved	title	2	32
Bioshock	title	1	33
Blazing Saddles	title	1	34
Bloodchild	title	1	35
Book of the Dead	title	1	36
Bottle Rocket	title	1	37
Broad City	title	1	38
Brokeback Mountain	title	1	39
Buffy the Vampire Slayer	title	1	40
Call Me By Your Name	title	1	41
Call the Midwife	title	1	42
Casablanca	title	1	43
Chinese Ode included in the Shijing of the Five Classics	title	1	44
Choose Your Own Accomplice	technology	1	45
Clarissa, or, the History of a Young Lady	title	1	46
Cloud Atlas	title	1	47
Comic Wink	technology	5	48
Comic Wink + Reality Shifter	technology	5	49
Confessions	title	2	50
Confusion	experience	2	51
Connection	experience	8	52
Conversion Narrative	technology	1	53
Courage	experience	9	54
Crazy Ex-Girlfriend	title	1	55
Crossing Brooklyn Ferry	title	1	56
Curiosity	experience	12	57
David Copperfield	title	1	58
Disagreeing Narrators	technology	1	59
Disclaimer	title	1	60
Disgrace	title	1	61
Dissociation	experience	1	62
Distress	experience	1	63
Do Not God Gentle into That Good Night	title	1	64
Don Quixote	title	2	65
Double Alien	technology	4	66
Double Identification	experience	1	67
Dragnet	title	1	68
Dream of the Red Chamber	title	2	69
Dream of the World	technology	5	70
El Cantar de Mio Cid	title	1	71
Eminent Victorians	title	1	72
Emma	title	2	73
Empathy	experience	13	74
Empathy Generator	technology	7	75
Empowerment	experience	2	76
Enigma	technology	1	77
Epic Simile	technology	2	78
Equilateral Love Triange	technology	4	79
Eustress	experience	1	80
Existential Nausea	experience	1	81
Fanny Hill, or Memoirs of a Woman of Pleasure	title	1	82
Fleabag	title	1	83
Fox in Socks	title	1	84
Frankenstein	title	1	85
Frederick	title	1	86
Free Indirect Discourse	technology	6	87
Fun Home	title	1	88
Generous Love	experience	6	89
Genesis	title	1	90
Gilgamesh	title	1	91
Gladiator	title	1	92
Go Tell it on the Mountain	title	1	93
God Voice	technology	5	94
Gone Girl	title	1	95
Graciosa and Percinet	title	1	96
Gratification	experience	12	97
Gratitude Booster	technology	2	98
Grey's Anatomy	title	1	99
Grief Releaser	technology	1	100
Guilt Lifter	technology	1	101
Gulliver's Travels	title	2	102
Hamartia	technology	4	103
Hamlet	title	4	104
Histoires ou contes du temps passé	title	1	105
Horse Feathers	title	1	106
House	title	1	107
Human God Voice	technology	7	108
Hurt Delay	technology	1	109
I Know Why the Caged Bird Sings	title	1	110
I Love Lucy	title	1	111
I Should Not Dare to Leave My Friend	title	1	112
I Voice	technology	11	113
I have tucked our love inside the lyric/ Like silver in a pocket	title	1	114
I'm not one for tall, swaggering generals...	title	1	115
Identification	experience	9	116
Immersion	experience	2	117
In Cold Blood	title	1	118
In Search of Lost Time	title	1	119
Infinite Jest	title	1	120
Insinuation	technology	2	121
Invisible Man	title	1	122
Irony	technology	10	123
Jane Eyre	title	2	124
Jude the Obscure	title	1	125
King Solomon's Mines	title	1	126
L'Orfeo	title	1	127
La Vie de Marianne	title	1	128
Labyrinths	title	1	129
Law and Order	title	1	130
Le Cid	title	1	131
Letters from a Peruvian Woman	title	1	132
