QID,itemLabel,pubDates,genres,origin,coordinates,lon,lat
Q2446285,Pippi Longstocking,1945-11-01,"fantasy,children's fiction",Sweden,Point(15.0 61.0),15.0,61.0
Q16733998,Our Sister Killjoy,1977-01-01,fiction,Ghana,Point(-1.0232 7.9465),-1.0232,7.9465
Q428680,Fun Home,2006-06-08,"autobiographical comics,graphic novel,gay comics",United States,Point(-98.5795 39.828175),-98.5795,39.828175
Q128518,Gladiator,2000-01-01,"drama film,action film,adventure film,epic film,sword-and-sandal film,melodrama,historical film","United States,United Kingdom","Point(-98.5795 39.828175),Point(-2.0 54.6)","-98.5795,-2.0","39.828175,54.6"
Q243556,The Godfather,1969-03-10,crime fiction,United States,Point(-98.5795 39.828175),-98.5795,39.828175
Q6945057,My Bondage and My Freedom,,autobiography,United States,Point(-98.5795 39.828175),-98.5795,39.828175
Q1136104,Le Morte d'Arthur,,"Arthurian romance,chivalric romance",England,Point(-1.0 53.0),-1.0,53.0
Q215410,Adventures of Huckleberry Finn,1884-01-01,"picaresque novel,satire,adventure fiction,humor",United States,Point(-98.5795 39.828175),-98.5795,39.828175
Q756715,Sir Gawain and the Green Knight,,chivalric romance,Kingdom of England,Point(-1.316666666 52.066666666),-1.316666666,52.066666666
Q1197185,The Right Stuff,1983-10-21,"drama film,adventure film,historical film,film based on book",United States,Point(-98.5795 39.828175),-98.5795,39.828175
Q520306,Superman,,,United States,Point(-98.5795 39.828175),-98.5795,39.828175
Q851847,Letters from a Peruvian Woman,1747-01-01,epistolary novel,France,Point(2.0 47.0),2.0,47.0
Q1444052,Go Tell It on the Mountain,1953-01-01,"African American literature,autobiographical novel",United States,Point(-98.5795 39.828175),-98.5795,39.828175
Q222018,Total Recall,1990-01-01,"cyberpunk,action film,adventure film,science fiction film,speculative fiction film,dystopian film,film based on literature","United States,Mexico","Point(-98.5795 39.828175),Point(-102.0 23.0)","-98.5795,-102.0","39.828175,23.0"
Q132689,Casablanca,1942-11-26,"drama film,film noir,war film,romance film,flashback film",United States,Point(-98.5795 39.828175),-98.5795,39.828175
Q248096,"The History of Tom Jones, a Foundling",1749-01-01,"picaresque novel,bildungsroman",England,Point(-1.0 53.0),-1.0,53.0
Q41567,Hamlet,,tragedy,England,Point(-1.0 53.0),-1.0,53.0
Q22263533,My Brilliant Friend,2011-01-01,bildungsroman,Italy,Point(12.5 42.5),12.5,42.5
Q223880,Emma,1815-12-23,romantic fiction,United Kingdom,Point(-2.0 54.6),-2.0,54.6
Q174361,Book of the Dead,,,Ancient Egypt,Point(31.3 29.8),31.3,29.8
Q591301,Westcar Papyrus,,,Ancient Egypt,Point(31.3 29.8),31.3,29.8
Q274744,Sense and Sensibility,1811-01-01,"bildungsroman,romantic fiction",United Kingdom,Point(-2.0 54.6),-2.0,54.6
Q1233830,New Atlantis,,"science fiction,fantasy,utopian fiction,philosophical fiction",United Kingdom,Point(-2.0 54.6),-2.0,54.6
Q62407,Mother Courage and Her Children,1949-01-01,"epic theatre,drama fiction",Germany,Point(10.0 51.0),10.0,51.0
Q135515,The Sound and the Fury,1929-01-01,Southern Gothic,United States,Point(-98.5795 39.828175),-98.5795,39.828175
Q483034,Robinson Crusoe,1719-04-25,"autobiography,robinsonade,developmental novel,adventure fiction,pirate fiction",United Kingdom,Point(-2.0 54.6),-2.0,54.6
Q980534,Clarissa,1748-01-01,epistolary novel,United Kingdom,Point(-2.0 54.6),-2.0,54.6
Q2281600,The Autobiography of Malcolm X,1965-01-01,autobiography,United States,Point(-98.5795 39.828175),-98.5795,39.828175
Q308918,A Tale of Two Cities,1859-01-01,"historical fiction,social fiction",United Kingdom,Point(-2.0 54.6),-2.0,54.6
Q235795,A Farewell to Arms,1929-01-01,war novel,United States,Point(-98.5795 39.828175),-98.5795,39.828175
Q1212645,The Time Traveler's Wife,2003-09-01,"science fiction,fantasy,romantic fiction,time-travel fiction",United States,Point(-98.5795 39.828175),-98.5795,39.828175
Q452075,Amadis de Gaula,,"chivalric romance,found manuscript",Spain,Point(-3.5 40.2),-3.5,40.2
Q1204366,A Room of One's Own,1929-09-01,essay,England,Point(-1.0 53.0),-1.0,53.0
Q2699263,Brokeback Mountain,1997-10-13,,United States,Point(-98.5795 39.828175),-98.5795,39.828175
Q216006,Pan's Labyrinth,2006-05-27,"drama film,fantasy film,cinematic fairy tale,magic realist film",Spain,Point(-3.5 40.2),-3.5,40.2
Q963743,The Maxims of Ptahhotep,,"wisdom literature,didactic literature",Ancient Egypt,Point(31.3 29.8),31.3,29.8
Q135465,Rashomon,1950-08-25,"drama film,samurai cinema,crime film,medieval film,flashback film",Japan,Point(136.0 35.0),136.0,35.0
Q3824677,The Marriage Plot,2011-01-01,,United States,Point(-98.5795 39.828175),-98.5795,39.828175
Q45875,A Song of Ice and Fire,1996-01-01,"fantasy,high fantasy",United States,Point(-98.5795 39.828175),-98.5795,39.828175
Q171048,Toy Story,1995-01-01,"fantasy film,comedy film,adventure film,buddy film",United States,Point(-98.5795 39.828175),-98.5795,39.828175
Q3234313,The Blacks,1958-01-01,theatre of the absurd,France,Point(2.0 47.0),2.0,47.0
Q732022,Mr. Nobody,2009-09-12,"drama film,fantasy film,comedy film,science fiction film,romance film,arthouse science fiction film","Canada,Belgium,France,Germany","Point(-109.0 56.0),Point(4.668055555 50.641111111),Point(2.0 47.0),Point(10.0 51.0)","-109.0,4.668055555,2.0,10.0","56.0,50.641111111,47.0,51.0"
Q189234,Rigoletto,1850-01-01,opera,Italy,Point(12.5 42.5),12.5,42.5
Q15052495,Passing,1929-04-01,,United States,Point(-98.5795 39.828175),-98.5795,39.828175
Q1045464,The Age of Innocence,1920-01-01,"novel of manners,romance",United States,Point(-98.5795 39.828175),-98.5795,39.828175
Q1215018,The Mill on the Floss,1860-01-01,psychological fiction,United Kingdom,Point(-2.0 54.6),-2.0,54.6
Q3990982,Thyestes,,Roman tragedy,Ancient Rome,Point(12.48 41.89),12.48,41.89
Q372941,Confessions,,autobiography,Roman Empire,Point(12.5 41.9),12.5,41.9
Q92640,Alice's Adventures in Wonderland,1865-01-01,"fairy tale,literary nonsense,children's fiction",United Kingdom,Point(-2.0 54.6),-2.0,54.6
Q478016,To the Lighthouse,1927-01-01,modernist literature,United Kingdom,Point(-2.0 54.6),-2.0,54.6
Q1395765,Fanny Hill,1748-01-01,"erotica,LGBT-related literature",United Kingdom,Point(-2.0 54.6),-2.0,54.6
Q438406,Grey's Anatomy,,medical drama,United States,Point(-98.5795 39.828175),-98.5795,39.828175
Q2048624,"Pamela; or, Virtue Rewarded",1740-01-01,"epistolary novel,education novel",England,Point(-1.0 53.0),-1.0,53.0
Q2279794,A Wild Sheep Chase,1982-10-15,"magic realist fiction,surrealist fiction",Japan,Point(136.0 35.0),136.0,35.0
Q7767037,The String of Pearls,1846-01-01,fiction,United Kingdom of Great Britain and Ireland,Point(-0.1275 51.507222222),-0.1275,51.507222222
Q1777072,Like Water for Chocolate,1989-01-01,magic realism,Mexico,Point(-102.0 23.0),-102.0,23.0
Q20657314,Me Before You,2016-06-24,romantic fiction,United States,Point(-98.5795 39.828175),-98.5795,39.828175
Q182961,Jane Eyre,1847-01-01,"bildungsroman,romance,education novel,autobiographical novel,Gothic fiction",United Kingdom of Great Britain and Ireland,Point(-0.1275 51.507222222),-0.1275,51.507222222
Q3766392,Winnie-the-Pooh,1926-10-14,children's fiction,United Kingdom,Point(-2.0 54.6),-2.0,54.6
Q1170769,The Essence of Christianity,1841-01-01,,Germany,Point(10.0 51.0),10.0,51.0
Q625923,The Turn of the Screw,1898-01-01,"fantasy,ghost story,horror fiction,Gothic fiction",United Kingdom,Point(-2.0 54.6),-2.0,54.6
Q465360,A Portrait of the Artist as a Young Man,1918-01-01,"bildungsroman,Künstlerroman,autobiographical novel",Ireland,Point(-8.0 53.0),-8.0,53.0
Q752584,Mrs Dalloway,1925-05-14,modernist literature,United Kingdom,Point(-2.0 54.6),-2.0,54.6
Q2904743,"Narrative of the Life of Frederick Douglass, an American Slave",1845-01-01,autobiography,United States,Point(-98.5795 39.828175),-98.5795,39.828175
Q5237708,The History of Love,2005-05-02,,United States,Point(-98.5795 39.828175),-98.5795,39.828175
Q7737904,The Great Railway Bazaar,1975-01-01,travel literature,United States,Point(-98.5795 39.828175),-98.5795,39.828175
Q40205,Cloud Atlas,2004-03-01,"science fiction,fantasy,post-apocalyptic fiction,epistolary novel",United Kingdom,Point(-2.0 54.6),-2.0,54.6
Q23558,House M.D.,,medical drama,United States,Point(-98.5795 39.828175),-98.5795,39.828175
