QID	title	coordinates	genreLabel	countryOriginLabel	pubDate	long	lat
Q1204366	A Room of One's Own by Virginia Woolf	Point(-1.0 53.0)	essay	England	1929-09-01	-1.0	53.0
Q1204366	A Room of One's Own	Point(-1.0 53.0)	essay	England	1929-09-01	-1.0	53.0
Q1204366	A Room of One's Own	Point(-1.0 53.0)	essay	England	1929-09-01	-1.0	53.0
Q1204366	A Room of One's Own	Point(-1.0 53.0)	essay	England	1929-09-01	-1.0	53.0
Q478016	To the Lighthouse	Point(-2.0 54.6)	modernist literature	United Kingdom	1927-01-01	-2.0	54.6
Q478016	To the Lighthouse	Point(-2.0 54.6)	modernist literature	United Kingdom	1927-01-01	-2.0	54.6
Q20657314	Me Before You	Point(-98.5795 39.828175)	romantic fiction	United States	2016-06-24	-98.5795	39.828175
Q2344707	The Crying of Lot 49	Point(-98.5795 39.828175)	secret history	United States	1966-01-01	-98.5795	39.828175
Q2344707	The Crying of Lot 49	Point(-98.5795 39.828175)	metafiction	United States	1966-01-01	-98.5795	39.828175
Q2344707	The Crying of Lot 49	Point(-98.5795 39.828175)	paranoid fiction	United States	1966-01-01	-98.5795	39.828175
Q2344707	The Crying of Lot 49	Point(-98.5795 39.828175)	science fiction	United States	1966-01-01	-98.5795	39.828175
Q2344707	The Crying of Lot 49	Point(-98.5795 39.828175)	postmodern fiction	United States	1966-01-01	-98.5795	39.828175
Q1723053	Saturday	Point(-2.0 54.6)		United Kingdom	2005-01-01	-2.0	54.6
Q7742392	The Intuitionist	Point(-98.5795 39.828175)	science fiction	United States	1999-01-01	-98.5795	39.828175
Q7742392	The Intuitionist	Point(-98.5795 39.828175)	fantasy	United States	1999-01-01	-98.5795	39.828175
Q752584	Mrs. Dalloway	Point(-2.0 54.6)	modernist literature	United Kingdom	1925-05-14	-2.0	54.6
Q464928	In Search of Lost Time	Point(2.0 47.0)	modernist literature	France	2000-01-01	2.0	47.0
Q313129	Middlemarch	Point(-0.1275 51.507222222)	realist novel	United Kingdom of Great Britain and Ireland	1871-01-01	-0.1275	51.507222222
Q625923	Turn of the Screw	Point(-2.0 54.6)	Gothic fiction	United Kingdom	1898-01-01	-2.0	54.6
Q625923	Turn of the Screw	Point(-2.0 54.6)	horror fiction	United Kingdom	1898-01-01	-2.0	54.6
Q625923	Turn of the Screw	Point(-2.0 54.6)	ghost story	United Kingdom	1898-01-01	-2.0	54.6
Q625923	Turn of the Screw	Point(-2.0 54.6)	fantasy	United Kingdom	1898-01-01	-2.0	54.6
