id	author	date	benefit	experience	technology	title	QID
848	6	2025-04-16	Creativity	Wonder	Poetic Language	A Room of One's Own by Virginia Woolf	Q1204366
847	6	2025-04-16	Creative Breakthrough	Relearning	Poetic History	A Room of One's Own	Q1204366
846	6	2025-04-16	Connection	Superiority	Insinuation	A Room of One's Own	Q1204366
845	6	2025-04-16	Resilience	Identification	Soliloquy	A Room of One's Own	Q1204366
777	6	2025-03-11	Gratitude	Identification	Stream of Consciousness	To the Lighthouse	Q478016
776	6	2025-03-11	Gratitude	Wonder	Stream of Consciousness	To the Lighthouse	Q478016
362	5	2025-01-09	Faith	Wonder	Enigma	Mystery Plays	Q240911
364	5	2025-01-09	Generosity	Wonder	Stretch	Oedipus	Q148643
363	5	2025-01-09	Faith	Wonder	Plot Twist	Oedipus	Q148643
361	5	2025-01-09	Peace of Mind	Tranquility	Stream of Consciousness	Me Before You	Q20657314
360	5	2025-01-09	Peace of Mind	Tranquility	Stream of Consciousness	The Crying of Lot 49	Q2344707
359	5	2025-01-09	Peace of Mind	Tranquility	Stream of Consciousness	Saturday	Q1723053
358	5	2025-01-09	Peace of Mind	Tranquility	Stream of Consciousness	The Intuitionist	Q7742392
357	5	2025-01-09	Peace of Mind	Tranquility	Stream of Consciousness	Mrs. Dalloway	Q752584
356	5	2025-01-09	Peace of Mind	Tranquility	Stream of Consciousness	In Search of Lost Time	Q464928
355	5	2025-01-09	Peace of Mind	Tranquility	Stream of Consciousness	Pilgrimage	Q30610271
354	5	2025-01-09	Gratitude	Togetherness	"Voice of ""You and Me"""	Middlemarch	Q313129
353	5	2025-01-09	Innovative Thinking	"Thinking ""What If?"""	Reality Shifter	Turn of the Screw	Q625923
352	5	2025-01-09	Innovative Thinking	"Thinking ""What If?"""	Reality Shifter	The Black Cat	Q465395
351	5	2025-01-09	Innovative Thinking	"Thinking ""What If?"""	Reality Shifter	Buffy the Vampire Slayer	Q183513
350	5	2025-01-09	Innovative Thinking	"Thinking ""What If?"""	Reality Shifter	Mary Poppins	Q209170
349	5	2025-01-09	Innovative Thinking	"Thinking ""What If?"""	Reality Shifter	Horse Feathers	Q887192
348	5	2025-01-09	Innovative Thinking	"Thinking ""What If?"""	Reality Shifter	The Sandman	Q798227
347	5	2025-01-09	Innovative Thinking	"Thinking ""What If?"""	Comic Wink + Reality Shifter	Broad City	Q16155320
346	5	2025-01-09	Innovative Thinking	"Thinking ""What If?"""	Comic Wink + Reality Shifter	Crazy Ex-Girlfriend	Q19863017
345	5	2025-01-09	Innovative Thinking	"Thinking ""What If?"""	Comic Wink + Reality Shifter	Miranda	Q966191
344	5	2025-01-09	Innovative Thinking	"Thinking ""What If?"""	Comic Wink + Reality Shifter	30 Rock	Q189350
343	5	2025-01-09	Innovative Thinking	"Thinking ""What If?"""	Comic Wink + Reality Shifter	Don Quixote	Q480
342	5	2025-01-09	Innovative Thinking	"Thinking ""What If?"""	Comic Wink	Blazing Saddles	Q957323
341	5	2025-01-09	Innovative Thinking	"Thinking ""What If?"""	Comic Wink	A Funny Thing Happened on the Way to the Forum	Q862709
340	5	2025-01-09	Innovative Thinking	"Thinking ""What If?"""	Comic Wink	I Love Lucy	Q181943
339	5	2025-01-09	Innovative Thinking	"Thinking ""What If?"""	Comic Wink	Lysistrata	Q753907
338	5	2025-01-09	Innovative Thinking	"Thinking ""What If?"""	Comic Wink	The Frogs	Q815376
337	5	2025-01-09	Peace of Mind	Suspended Judgment	Untrustworthy Narrator	Gulliver's Travels	Q181488
336	5	2025-01-09	Bias Reduction	Suspended Judgment	Double Alien	Bioshock	Q57270
335	5	2025-01-09	Bias Reduction	Suspended Judgment	Double Alien	Persepolis 2: The Story of a Return	Q42194156
334	5	2025-01-09	Bias Reduction	Suspended Judgment	Double Alien	The Great Railway Bazaar: By Train Through Asia	Q7737904
333	5	2025-01-09	Bias Reduction	Suspended Judgment	Double Alien	The Left Hand of Darkness	Q2008211
332	5	2025-01-09	Bias Reduction	Suspended Judgment	Disagreeing Narrators	Utopia	Q404158
331	5	2025-01-09	Anxiety	Superiority	Parody	An Apology for the Life of Mrs. Shamela Andrews	Q2743569
330	5	2025-01-09	Anxiety	Superiority	Parody	Batrachomyomachia	Q1328064
329	5	2025-01-09	Anxiety	Superiority	Insinuation	Reader, suppose you were an idiot...	https://en.wikiquote.org/wiki/Mark_Twain
328	5	2025-01-09	Anxiety	Superiority	Insinuation	I'm not one for tall, swaggering generals...	
327	5	2025-01-09	Realistic Appreciation of Love	Sober Uplift	Almighty Heart + Satiric Narration	Tom Jones	Q248096
326	5	2025-01-09	Vigilance	Skepticism	Vigilance Trigger	New Atlantis	Q1233830
325	5	2025-01-09	Empowerment	Self-Trust	Choose Your Own Accomplice	I Know Why the Caged Bird Sings	Q3163506
324	5	2025-01-09	Empowerment	Self-Love	Self-Self-Affirmation	The Meditations of Marcus Aurelius	Q120663907
323	5	2025-01-09	Empowerment	Self-Trust	Self-Affirmation	The Wisdom of Ptahhotep	Q963743
322	5	2025-01-09	Intimacy	Self-Love	Secret Discloser	Confessions	Q1207595
321	5	2025-01-09	Peace of Mind	Self-Irony	Irony	Don Quixote	Q480
320	5	2025-01-09	Peace of Mind	Self-Irony	Irony	30 Rock	Q189350
319	5	2025-01-09	Peace of Mind	Self-Irony	Irony	The Hitchhiker's Guide to the Galaxy	Q3107329
318	5	2025-01-09	Peace of Mind	Self-Irony	Irony	Animal Farm	Q1396889
317	5	2025-01-09	Peace of Mind	Self-Irony	Irony	Infinite Jest	Q1077445
316	5	2025-01-09	Peace of Mind	Self-Irony	Irony	All about H. Hatterr	Q4728502
315	5	2025-01-09	Peace of Mind	Self-Irony	Irony	Babbitt	Q1107000
314	5	2025-01-09	Peace of Mind	Self-Irony	Irony	We	Q83799
313	5	2025-01-09	Peace of Mind	Self-Irony	Irony	Gulliver's Travels	Q181488
312	5	2025-01-09	Peace of Mind	Self-Irony	Irony	Meno	Q746253
311	5	2025-01-09	Healing	Self-Efficacy	Hurt Delay	Oedipus Tyrannus	Q148643
310	5	2025-01-09	Expanded Inner List of Cultural Norms	Self-Acceptance	Shame Reducer	Zhuangzi	Q1074987
309	5	2025-01-09	Expanded Inner List of Cultural Norms	Self-Acceptance	Equilateral Love Triange	Americanah	Q16154159
308	5	2025-01-09	Expanded Inner List of Cultural Norms	Self-Acceptance	Equilateral Love Triange	Casablanca	Q132689
307	5	2025-01-09	Expanded Inner List of Cultural Norms	Self-Acceptance	Equilateral Love Triange	The Unbearable Lightness of Being	Q917055
306	5	2025-01-09	Expanded Inner List of Cultural Norms	Self-Acceptance	Equilateral Love Triange	Dream of the Red Chamber	Q8265
305	5	2025-01-09	Expanded Inner List of Cultural Norms	Self-Acceptance	Dream of the World	Cloud Atlas	Q40205
304	5	2025-01-09	Expanded Inner List of Cultural Norms	Self-Acceptance	Dream of the World	Mr. Nobody	Q732022
